MaritalStatus,age,edu_status,jznx,sqjkqx,xykpjsy6m,num_card,lsyq,zsjll,zsmll,cshk,sxze,wdhj,bdfc,yqsj,yjfzhke,zwze,kzpsr,yjsr,dizhi,zhiye,yhls,susong,spsxed,yq
已婚,e,UN,h,2,0.023716527,3,has,0.5,0.7,3,0.916290732,否,是,1,6.2,5.171052016,2.2,12,y,y,3.688879454,否,11,0
已婚,m,初中以下,h,3,2.513656063,10,has,0.18,0.25,2,2.576421759,是,是,1,4.7,4.348986781,6.2,15.6,y,y,4.39222446,否,20,1
已婚,m,小学毕业,h,4,0.641853886,5,no,0.25,0.55,1,1.16315081,否,是,0,0.15,0.993251773,0.69,1.2,y,y,1.098612289,否,5,0
离异,m,UN,m,3,0.875468737,17,has,0.2,0.25,4,1.791759469,是,否,6,2.47,3.740047741,21.799,34.67,UN,y,4.018183201,否,10,0
已婚,m,UN,h,2,3.310543013,6,has,0.25,0.4,3,3.60004824,否,是,1,12.07,6.440946541,15.54,39.4,y,y,5.303304908,否,20,0
已婚,t,本科,m,2,1.808288771,9,has,0.45,0.55,5,2.549445171,否,是,1,0.9,2.028148247,0.92,2.6,UN,y,2.186051277,否,10,0
已婚,m,UN,h,2,2.442347035,7,has,0.15,0.18,3,2.610069793,否,是,1,4.4,3.912023005,1.9,8.96,UN,y,4.227881371,否,20,0
已婚,e,高中,h,2,2.111920832,5,no,0,0,1.5,3.000555622,否,是,0,0,0.631271777,0.4,1.2,y,y,0.78845736,否,4,0
离异,m,UN,h,2,0,1,has,0.15,0.17,1,0.09531018,否,否,1,1.195867052,3.647937269,0.5,2,UN,UN,4.997212274,否,10,1
已婚,t,本科,h,2,2.261763098,28,has,0.3,0.35,2,3.473828073,是,是,1,7.9,4.699570861,20.1,40,y,y,6.269986039,否,20,0
未婚,t,专科,h,4,0.431782416,4,no,0,0,0.3,2.501435952,否,否,0,0.02,0.182321557,0.21,0.3,y,y,0.285178942,否,3,0
已婚,e,UN,h,2,2.32238772,24,has,0.3,0.4,3,3.010620886,是,是,1,4.5,4.458987676,0.77,8.8,y,UN,3.266511037,否,20,0
已婚,e,小学,h,2,0.518793793,1,has,0.12,0.14,5,0.78845736,是,否,1,3.56,5.109575242,4.56,11.64,y,y,3.876847539,否,18,1
已婚,t,UN,h,2,1.360976553,3,has,0,0,0.5,1.791759469,否,是,1,0,0.91228271,0.9,1.6,y,y,0.988388113,否,4,0
已婚,m,UN,m,2,2.772588722,14,has,0.2,0.3,3,3.370738174,否,是,1,9.2,5.09681299,1.59,15.4,y,y,4.414816861,否,14,0
已婚,y,高中,h,2,0.444429378,3,no,0.53,0.6,2,0.641853886,否,是,0,1,2.43501588,0.61,2.3,y,y,1.650579856,否,8,0
离异,e,初中以下,h,3,1.358409158,4,no,0.1,0.3,2,1.589235205,否,是,0,1.25,2.803360381,0.57,2.6,y,y,3.673765816,否,10,1
已婚,e,专科,h,2,0.086177696,4,no,0,0,1,0.693147181,否,是,0,0,0,1.2,1.2,y,y,2.14645746,否,4,0
离异,e,UN,h,2,2.208274414,26,no,0.25,0.35,2,2.397895273,是,是,0,4.19,4.421247348,3.68,11.25,y,UN,3.11402629,否,10,1
已婚,t,本科,h,2,1.349007776,2,no,0.1,0.15,4,1.526056303,否,是,0,3,3.607669399,2.1,7.3,n,y,3.361069591,否,15,1
已婚,m,UN,h,2,1.504077397,5,has,0.35,0.7,3,1.774952351,否,是,1,5.8,4.230476737,0.92,9.6,y,y,3.172572167,否,20,0
已婚,t,UN,h,2,0.207014169,2,has,0.07,0.1,2,0.693147181,是,否,1,7.93,4.421247348,2.08,14.3,y,y,5.003946306,否,20,0
已婚,m,UN,h,2,3.039749159,16,has,0.3,0.38,3,3.370738174,否,是,1,5,4.832066686,0.82,8.31,n,y,3.461432908,否,10,1
离异,m,高中,m,4,1.790692233,7,has,0,0,1.5,2.174751721,否,否,1,0.6,2.014903021,0.73,9,y,y,3.9213791,否,16,1
离异,e,UN,h,2,1.85629799,6,has,0.18,0.3,2,1.916922612,否,是,1,0,5.037601742,10,18,y,n,3.641132496,否,4,1
离异,e,UN,m,2,2.32238772,18,no,0.15,0.25,4,3.173878459,否,否,0,0,4.077537444,11.2,20,UN,UN,4.630427517,否,4,0
已婚,t,本科,m,2,0.292669614,4,has,0.1,0.2,10,1.335001067,是,否,1,5.2,4.480740108,1.66,9.8,y,y,4.9698133,否,20,0
已婚,e,高中,h,2,1.62924054,4,no,0.1,0.13,2,1.648658626,否,是,0,6.16,4.315886832,1.19,10.5,n,y,4.809742352,否,10,1
已婚,m,高中及以下,m,6,2.36434789,7,no,0,0,1,2.332153604,否,是,0,0,4.364371699,10.5,15,y,y,3.617033644,否,4.5,0
已婚,e,中等专业学校或中等技术学校,h,2,1.526056303,7,no,0.25,0.4,3,2.879198457,否,是,0,0,3.370050653,0.5,1.9,y,y,1.064710737,否,4,0
已婚,t,专科,l,4,2.28088126,11,has,0,0,1.5,3.077312261,否,否,1,0,2.923161581,1.2,2.64,y,y,2.890371758,否,9,0
已婚,m,高中及以下,m,2,1.335001067,7,has,0.3,0.4,0.7,2.151762203,否,是,1,0,1.184789985,2,2.8,y,y,2.014903021,否,4,0
离异,y,本科,l,2,2.2300144,6,has,0.35,0.5,3,3.068052935,是,否,1,2.3,2.708050201,2.992,7.56,y,y,3.207305142,否,20,1
已婚,e,本科,l,2,2.234306252,10,has,0.12,0.2,2,2.867898902,是,是,1,4.67,4.599152114,1.259,8.47,n,y,3.725693427,否,20,1
已婚,y,专科,l,2,0,10,no,0,0,0.5,2.302585093,是,是,0,0,3.328626689,2.8,3,y,y,2.451005098,否,4,1
已婚,t,本科,m,2,3.173878459,8,has,0.2,0.4,3,3.292126287,否,否,1,4.9,4.472780998,3.5,12.06,y,y,4.362991613,否,20,1
已婚,m,高中,m,2,0.90016135,8,has,0.1,0.2,10,2.028148247,否,是,1,7.41,5.222515653,0.57,11.4,y,y,4.846546506,否,12,0
未婚,t,UN,h,2,0.916290732,2,has,0,0,1,1.223775432,否,是,1,0,0.824175443,0.5,0.8,y,y,0.470003629,否,3,0
已婚,e,专科,m,2,0.31481074,6,has,0.175,0.225,5,1.808288771,否,是,1,0,3.374168709,5,7,y,UN,2.174751721,否,5,1
已婚,m,UN,h,2,0,4,no,0.4,0.7,6.5,2.251291799,是,否,0,5,4.445588116,3.6,12.3,y,y,2.96838677,否,20,0
已婚,t,专科,l,4,0.625938431,4,no,0.1,0,0.3,1.095273387,否,否,0,0,1.064710737,0.75,0.8,y,y,2.378619779,否,3.6,0
已婚,m,UN,h,2,0,1,no,0.09,0.1,2,0.530628251,否,是,0,0,2.397895273,2.5,3.7,y,y,2.269369513,否,4,0
未婚,y,本科,h,4,2.302585093,4,no,0.25,0.4,2,2.251291799,否,是,0,0,3.749504076,8,9,y,y,2.321406847,否,8,0
已婚,m,高中,l,2,0,2,no,0.6,0,1,0.693147181,是,否,0,0.18,1.16315081,0.59,1.1,UN,y,1.386294361,否,7,0
已婚,t,专科,h,2,2.344686269,8,has,0.15,0.3,2,2.406945108,否,是,1,8.3,4.982921456,1.549,14.07,y,n,3.135494216,否,20,0
已婚,m,UN,h,2,0.988946221,6,has,0,0,3,2.587764035,否,是,1,1.62,1.969905655,1.851,4.96,UN,UN,2.944438979,否,20,0
离异,t,专科,h,4,0,0,no,0.3,0.4,0.5,0,否,是,0,0,0,1.5,1.5,y,y,1.751041636,否,4,0
已婚,m,UN,h,4,0,0,no,0.2,0.3,1.6,0,是,是,0,0,1.042041937,2.4,3,UN,y,1.386294361,否,10,0
已婚,t,高中,h,4,0.641853886,2,no,0,0,1.5,1.30833282,否,否,0,0.36,1.695615609,6.8472,10.296,UN,UN,2.708050201,否,5,0
已婚,m,专科,h,2,3.605497845,16,has,0.15,0.3,2,3.910021003,否,是,1,7.7,5.401776075,4.2,17,UN,y,5.379897354,否,20,0
未婚,t,专科,h,4,1.504077397,7,has,0.3,0.7,4,1.945910149,是,否,1,3.39,3.471966453,2.7,8.7,UN,UN,3.091042453,否,20,0
已婚,m,专科,h,2,3.063390922,15,has,0,0,10,3.377587516,否,是,1,0,5.053694784,12.6,18,y,y,3.63758616,否,15,0
已婚,m,初中,l,2,0,1,no,0.1,0.45,4,1.00E-04,否,是,0,0,4.615120517,4,6,y,y,4.304065093,否,18,0
已婚,e,初中,h,4,0.064100925,3,has,0.5,0.7,4,0.916290732,否,是,1,2.89,4.564348191,3.193,8.69,y,y,3.610917913,否,20,0
已婚,m,高中,h,4,0.542324291,4,has,0.25,0.5,8,2.104134154,是,是,1,7.89,5.141663557,2.78,15.25,y,y,4.6000109,否,20,0
离异,e,高中,h,4,2.844909384,10,has,0.3,0.4,4,3.068052935,否,是,1,2.42,0,2.57,7.16,y,y,2.646415903,否,15,0
已婚,m,大专,h,3,2.215937286,18,has,0.175,0.3,5,3.927896355,是,否,1,0.69,2.066862759,0.5826,18.18,y,UN,3.708682081,否,10,0
已婚,m,高中及以下,m,2,0,0,no,0.12,0.1,2,0,是,是,0,6.958,4.828313737,1.4,9.94,y,UN,4.970160462,否,20,0
已婚,t,本科,m,2,1.504077397,3,has,0.4,0.5,5,1.740466175,是,是,1,0,4.141546164,1.29,4.7,y,y,3.301377046,否,10,0
已婚,m,专科,h,2,0.3074847,5,no,0.2,0.35,2,1.791759469,是,是,0,2.2,4.025351691,8.4,12,y,y,4.80811103,否,15,0
已婚,t,专科,h,3,1.16315081,8,has,0.08,0.11,8,1.568615918,否,是,1,6.54,5.536152467,3.008,13.64,y,y,5.150789044,否,20,0
已婚,t,初中,h,2,1.223775432,3,no,0,0.7,1,1.621366483,否,是,0,0,1.916922612,1.18,2.4,y,y,1.223775432,否,4,0
离异,m,高中,m,6,2.464278682,6,no,0,0,5,2.595254707,是,是,0,0,0,25,40,UN,y,3.723280881,否,9.3,0
已婚,m,初中,h,4,0,0,no,0,0,1.3,0,否,否,0,0,0.612479277,-0.2,0.5,y,y,0.36983793,否,6,0
已婚,m,硕士,h,2,1.95160817,5,no,0.3,0.5,2.3,2.370243741,否,是,0,0,3.877431561,3,4.5,y,y,3.977810746,否,10,0
已婚,m,初中,h,4,0.440317319,1,has,0.12,0.43,3,0.916290732,否,是,1,0.28,0.212850762,9.345,13.75,y,UN,4.128470589,否,20,0
已婚,m,高中,h,2,0.39041915,5,no,0.175,0.25,1,1.330623076,否,是,0,0.53,0.425267735,0.8686,1.998,y,y,1.823338882,否,8,0
已婚,e,本科,h,6,2.109461403,3,no,0,0,5,2.51418224,否,否,0,0,4.361441201,8,12,y,y,3.617033644,否,10,0
未婚,t,本科,l,2,3.126760536,13,has,0.4,0.8,5,3.19047635,是,否,1,0,3.61361697,1.9,4.3,y,y,3.349904087,否,10,1
已婚,e,初中,h,4,0,0,has,0.12,0.14,5,0,是,否,1,3.74,4.981343789,2.51,8.93,y,y,4.008011137,否,18,0
已婚,m,初中,m,2,0.574138394,7,has,0.15,0.3,5,1.526056303,否,否,2,1.2,2.778819272,2.37,5.1,UN,y,3.835141961,否,12,0
未婚,y,本科,m,2,0.336472237,1,no,0.1,0.4,3,0.405465108,是,否,0,0.25,1.62924054,4,6.12,y,y,4.007333185,否,20,0
已婚,m,专科,h,2,1.48790264,15,no,0.15,0.45,4,3.349904087,否,是,0,0.59,4.615120517,11.5405,17.3065,y,y,4.340553386,否,16,0
已婚,t,专科,l,4,0.4717521,2,no,0,0,0.5,1.16315081,否,是,0,0,0.587786665,0.4,0.5,UN,y,1.244154594,否,3,1
已婚,m,专科,h,2,0,13,has,0.14,0.3,5,2.219203484,否,是,1,2.73,4.925077406,2.268,7.14,y,y,4.824652644,否,20,0
已婚,m,高中,h,2,2.379546134,10,has,0.25,0.5,6,2.772588722,UN,是,2,2.57,4.635699391,2.42,7.138,y,y,4.053522568,否,12,1
已婚,t,专科,h,2,0,1,has,0.3,0,0.5,0.09531018,否,否,1,0.3,1.32175584,1.18,2.12,y,y,0.792992516,否,3,0
已婚,m,专科,h,4,2.723286865,17,has,0,0,3,3.021682631,否,是,1,0,2.697999865,0.42,0.6,y,y,0.488580015,否,10,0
未婚,t,本科,m,2,2.014903021,9,has,0.7,0.75,4,3.246490992,是,是,1,1.28,3.288401888,3.39,6.391,y,y,2.595254707,否,9,0
已婚,m,高中,h,2,0.016660441,2,no,0.175,0,1,0.336472237,否,是,0,0,0.392042088,2.8,4,y,y,1.689579077,否,2,0
已婚,m,高中,h,2.5,0.543486406,3,no,0.12,0.35,2,1.300355136,否,是,0,1.7,2.079441542,1.1,3.87,y,y,3.294725137,否,18,0
已婚,e,专科,m,3,2.708050201,6,has,0.15,0.325,10,3.091042453,否,是,1,3.8,4.672828834,16.85,29.5,y,y,4.420044702,否,16,0
已婚,e,高中,h,2,0,0,no,0,0,1,0,否,是,0,0,4.795790546,0.35,0.5,y,y,4.420044702,否,5,0
已婚,y,高中,m,4,0.09531018,1,no,0,0,0.5,0.470003629,否,是,0,0,0.09531018,1,1.7,UN,y,0.580146441,否,4,0
离异,y,本科,h,4,0.405465108,2,no,0,0,0.5,1.791759469,否,是,0,0,0.867100488,0.3,0.42,n,y,0.350656872,否,10,0
已婚,m,高中,h,4,0.698731559,2,has,0.39,0.55,3.5,1.098612289,否,是,1,3.1,4.498697941,7.61,15.3,y,y,3.247529363,否,20,0
已婚,t,高中,h,4,0,0,no,0,0,0.25,0,否,是,0,0,0,0.28,0.4,UN,UN,0.385262401,否,3,0
已婚,m,本科,h,6,2.197224577,12,no,0.12,0.4,1,2.564949357,是,是,0,3,4.838343273,6.1,13,UN,y,4.916324615,否,8,0
未婚,y,本科,m,2,1.223775432,3,no,0,0,0.2,2.197224577,否,否,0,0,0.58221562,-0.025,0.65,y,y,0.470003629,否,2,0
已婚,e,高中及以下,h,2,0,0,no,0.4,0.6,0.15,0,否,是,0,0,0,0.63,0.9,y,UN,0.666854539,否,1,0
离异,e,初中,l,4,0.106969221,1,no,0.3,0.4,0.3,0.182321557,否,是,0,0,0,0.308,0.44,y,y,0.336472237,否,2,1
已婚,m,高中,h,4,0.008563231,6,no,0.22,0.35,2.5,0.78845736,否,是,0,1.6,3.363841595,2.3,5.62,y,y,3.375698361,否,12,0
离异,y,本科,l,4,1.344899286,5,has,0.35,0.5,4,1.481604541,是,是,1,2.53,5.240688254,6.19,12.465,UN,y,3.891820298,否,14,0
已婚,m,专科,l,4,1.526056303,3,has,0.15,0.25,1.2,1.704748092,否,是,1,0,3.481240089,6.18,10,UN,y,2.539236994,否,4,0
已婚,t,本科,m,2,1.029619417,8,no,0.5,0.6,3,2.116255515,否,是,0,0.35,1.504077397,1.295,2.35,y,y,1.193922468,否,10,0
已婚,m,本科,m,2,2.884800713,17,has,0.15,0.225,5,3.194583132,是,是,1,3.42,4.390738575,2.355,8.25,y,y,4.016383021,否,8,0
离异,m,专科,m,4,0.177141497,5,has,0.15,0.21,2,1.386294361,否,是,2,0.67,3.919991175,3.572,6.04,y,y,3.151491659,否,20,0
已婚,t,本科,m,4,1.757857918,3,has,0,0,0.87,1.978239036,否,是,1,0,0.871293366,-0.425,0.35,y,n,0.306675549,否,4,0
已婚,e,专科,h,2,0.463734016,2,has,0.15,0.25,4,0.741937345,否,UN,1,0,3.424262655,16.6,31,y,y,2.292534757,否,2.7,1
已婚,t,专科,l,2,2.219866308,18,has,0.3,0,0,3.056587457,是,是,1,1.87,4.21582446,0.708,3.54,y,y,3.617033644,否,4,0
已婚,m,初中,h,1,0.130852808,1,has,0.1,0.15,5,0.405465108,否,是,1,1.6,4.075841091,10.1,16.72,y,y,3.044522438,否,20,1
离异,e,UN,m,2,1.704748092,15,no,0.15,0.25,2.4,2.557227311,否,是,0,0,0.972671065,-0.5,2,y,y,1.146322505,否,4,0
已婚,t,专科,h,4,2.312535424,17,has,0,0,1.5,3.265759411,否,是,1,0,3.828641396,12,20,y,n,2.541601993,否,8,0
已婚,y,高中,h,2,0,1,no,0.45,0.6,4,0.048790164,否,否,0,1.26,3.502549876,1.63,4.13,y,y,2.091864062,否,20,0
未婚,y,本科,m,4,0.667829373,1,has,0,0,0.7,2.727852828,是,是,1,0,1.098612289,-0.468,0.36,y,y,0.510845624,否,6,0
已婚,e,高中,h,4,3.340310851,7,has,0,0,1,3.433987204,是,是,1,0,4.220977213,0.21,0.3,y,UN,0.779324877,否,4,1
未婚,t,本科,l,4,2.696867912,12,no,0.1,0.4,4,3.054001182,是,是,0,2.73,5.478135793,6.51,11.55,UN,n,3.617033644,否,20,1
离异,m,专科,m,6,1.506208458,4,has,0,0,3,1.871802177,是,是,1,0,4.510859507,1.8,5,UN,UN,4.90823336,否,3.8,0
已婚,t,本科,m,4,2.674355525,10,has,0.2,0.4,8,2.980618636,是,UN,1,7.34,5.094976443,3.65,15.7,y,y,5.214954779,否,20,0
离异,m,UN,h,2,0,1,no,0.15,0.17,1,0.09531018,否,是,1,1.3,2.408745289,0.39,2.414,n,y,2.721953106,否,8,0
已婚,m,专科,h,4,0.020096702,1,no,0,0,0.5,1.791759469,否,是,0,0,0.790727509,0.35,0.6,UN,UN,1.064710737,否,8,0
已婚,m,高中,h,3,0,13,no,0.1,0.15,2,1.410986974,是,是,0,4.6,3.995260604,1.6125,8.87,UN,y,4.077537444,否,16.6,0
